"cpc_subclass","year","appearance_count","appearance_count_log","alt_count","alt_log","group_count","group_log","yearly_degree","cumulative_degree","yearly_degree_log","cumulative_degree_log","degree","closeness","betweenness","eigenvector","degree_log","closeness_log","betweenness_log","eigenvector_log","funded_count","funded_log","log_economic_output","section","class","closeness_sqrt","eigenvector_sqrt","alt_sqrt"
"A45F",2005,160,5.08140436498446,3,1.38629436111989,100,4.61512051684126,55,55,4.02535169073515,4.02535169073515,110,0,431.675155531707,0.0285544308669994,4.70953020131233,0,6.06998722827643,0.0281543512841752,36,3.61091791264422,15.3448561374351,"A","A45",0,0.168980563577588,1.73205080756888
"A46B",2005,205,5.32787616878958,1,0.693147180559945,209,5.34710753071747,26,26,3.29583686600433,3.29583686600433,52,0,102.311889562556,0.0168164052964795,3.97029191355212,0,4.63775246691339,0.0166765750041786,15,2.77258872223978,15.3163742742766,"A","A46",0,0.1296780833313,1
"A46D",2005,26,3.29583686600433,1,0.693147180559945,44,3.80666248977032,7,7,2.07944154167984,2.07944154167984,14,0,2.05573158207334,0.00620154807569334,2.70805020110221,0,1.11701903435554,0.00618239761066302,2,1.09861228866811,15.3851725951711,"A","A46",0,0.0787499084170473,1
"A47B",2005,627,6.4425401664682,8,2.19722457733622,829,6.72142570079064,73,73,4.30406509320417,4.30406509320417,146,0,1063.08814664427,0.0391932217408607,4.99043258677874,0,6.96987351106065,0.0384446637787513,18,2.94443897916644,15.2738082198867,"A","A47",0,0.197972780302901,2.82842712474619
"A47C",2005,1097,7.00124562206948,8,2.19722457733622,521,6.25766758788264,64,64,4.17438726989564,4.17438726989564,128,0,569.560598624535,0.0367632977012428,4.85981240436167,0,6.34661938386193,0.0361036463955841,30,3.43398720448515,15.3851725951711,"A","A47",0,0.191737575089607,2.82842712474619
"A47D",2005,258,5.55682806169954,8,2.19722457733622,73,4.30406509320417,17,17,2.89037175789616,2.89037175789616,34,0,21.5722978652399,0.00861383992816329,3.55534806148941,0,3.116723396247,0.00857695248599739,5,1.79175946922805,15.3470133539148,"A","A47",0,0.0928107748494931,2.82842712474619
"A47F",2005,286,5.65948221575962,8,2.19722457733622,208,5.34233425196481,50,50,3.93182563272433,3.93182563272433,100,0,659.168259548246,0.028848695864882,4.61512051684126,0,6.49249474123858,0.0284404060646562,2,1.09861228866811,14.9083647514711,"A","A47",0,0.169849038457337,2.82842712474619
"A47G",2005,448,6.10702288774225,8,2.19722457733622,554,6.31896811374643,104,104,4.65396035015752,4.65396035015752,208,0,2260.75606872884,0.0581179458447497,5.34233425196481,0,7.7238968121028,0.0564918072271629,34,3.55534806148941,15.1964037766844,"A","A47",0,0.241076638944444,2.82842712474619
"A47H",2005,28,3.36729582998647,8,2.19722457733622,84,4.44265125649032,6,6,1.94591014905531,1.94591014905531,12,0,1.28291870253528,0.00240411755687861,2.56494935746154,0,0.825454756986006,0.00240123228968728,2,1.09861228866811,15.2275065043668,"A","A47",0,0.0490318014851445,2.82842712474619
"A47J",2005,638,6.45990445437753,8,2.19722457733622,552,6.31535800152233,66,66,4.20469261939097,4.20469261939097,132,0,811.452940962117,0.0362935528146869,4.89034912822175,0,6.70005799371068,0.0356504558383846,34,3.55534806148941,14.7909173938729,"A","A47",0,0.190508668607722,2.82842712474619
"A47K",2005,253,5.53733426701854,8,2.19722457733622,237,5.47227067367148,53,53,3.98898404656427,3.98898404656427,106,0,493.829937072032,0.0293691703390822,4.67282883446191,0,6.20421414206728,0.0289461586322931,12,2.56494935746154,15.221837657655,"A","A47",0,0.171374357297357,2.82842712474619
"A47L",2005,846,6.74170069465205,8,2.19722457733622,588,6.37842618365159,94,94,4.55387689160054,4.55387689160054,188,0,1247.22578177385,0.056142737835197,5.24174701505964,0,7.12947844744914,0.0546233445541867,24,3.2188758248682,14.8431334831006,"A","A47",0,0.236944588111223,2.82842712474619
"A61B",2005,8042,8.99255742690407,12,2.56494935746154,3181,8.06526520889773,176,176,5.17614973257383,5.17614973257383,352,0,4598.25374989642,0.10557556558917,5.8664680569333,0,8.43364934103337,0.10036607319838,6742,8.81626020873458,15.3851725951711,"A","A61",0,0.32492393815964,3.46410161513775
"A61C",2005,661,6.49526555593701,12,2.56494935746154,383,5.95064255258773,63,63,4.15888308335967,4.15888308335967,126,0,301.1494750729,0.0439011665370026,4.84418708645859,0,5.71092184549976,0.0429648169111374,88,4.48863636973214,15.3851726951711,"A","A61",0,0.20952605216775,3.46410161513775
"A61D",2005,31,3.46573590279973,12,2.56494935746154,37,3.63758615972639,9,9,2.30258509299405,2.30258509299405,18,0,10.3958272614419,0.00773231938319163,2.94443897916644,0,2.43324725869715,0.00770257821542551,65,4.18965474202643,15.3851725951711,"A","A61",0,0.08793360781403,3.46410161513775
